altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,6,5,Chicago,64,True,True,Chicago,2024-04-14 15:26:49,41.880207,Chicago,-87.755337,60602,Chicago,Chicago,Laramie Ave & Madison St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,11,4,Chicago,65,True,True,Chicago,2024-04-14 15:27:21,41.738902,Chicago,-87.695518,60602,Chicago,Chicago,Francisco Ave & 85th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,14,8,Chicago,66,True,True,Chicago,2024-04-14 15:27:24,41.961004,Chicago,-87.649603,60602,Chicago,Chicago,Clarendon Ave & Junior Ter,IN_SERVICE,1,IN_SERVICE,False,23
0.0,12,5,Chicago,67,True,True,Chicago,2024-04-14 15:27:20,41.88592,Chicago,-87.66717,60602,Chicago,Chicago,Ashland Ave & Lake St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,15,8,Chicago,68,True,True,Chicago,2024-04-14 15:27:20,42.00104377979,Chicago,-87.6611982433,60602,Chicago,Chicago,Sheridan Rd & Loyola Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,6,0,Chicago,69,True,True,Chicago,2024-04-14 15:27:24,41.842733,Chicago,-87.635491,60602,Chicago,Chicago,Shields Ave & 28th Pl,IN_SERVICE,1,IN_SERVICE,False,11
0.0,10,1,Chicago,70,True,True,Chicago,2024-04-14 15:27:20,41.794228,Chicago,-87.655073,60602,Chicago,Chicago,Racine Ave & Garfield Blvd,IN_SERVICE,1,IN_SERVICE,False,11
0.0,11,1,Chicago,71,True,True,Chicago,2024-04-14 15:27:23,41.91468,Chicago,-87.64332,60602,Chicago,Chicago,Larrabee St & Menomonee St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,1,23,Chicago,72,True,True,Chicago,2024-04-14 15:27:23,41.893992,Chicago,-87.629318,60602,Chicago,Chicago,Dearborn St & Erie St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,13,3,Chicago,73,True,True,Chicago,2024-04-14 15:27:25,41.877618,Chicago,-87.673895,60602,Chicago,Chicago,Malcolm X College,IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,11,Chicago,74,True,True,Chicago,2024-04-14 15:27:29,41.88283,Chicago,-87.661206,60602,Chicago,Chicago,Ada St & Washington Blvd,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,9,Chicago,75,True,True,Chicago,2024-04-14 15:27:32,41.749702,Chicago,-87.693917,60602,Chicago,Chicago,Mozart St & 79th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,0,15,Chicago,76,True,True,Chicago,2024-04-14 15:27:28,41.917461,Chicago,-87.758497,60602,Chicago,Chicago,Lockwood Ave and Grand Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,8,Chicago,77,True,True,Chicago,2024-04-14 15:27:37,41.78007963264,Chicago,-87.6297463052,60602,Chicago,Chicago,Wentworth Ave & 63rd St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,5,6,Chicago,78,True,True,Chicago,2024-04-14 15:27:37,41.699206168127674,Chicago,-87.66891896724701,60602,Chicago,Chicago,Hale Ave & 107th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,11,0,Chicago,79,True,True,Chicago,2024-04-14 15:27:36,41.752029,Chicago,-87.552096,60602,Chicago,Chicago,Exchange Ave & 79th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,3,15,Chicago,80,True,True,Chicago,2024-04-14 15:27:36,41.882134,Chicago,-87.625125,60602,Chicago,Chicago,Michigan Ave & Madison St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,9,10,Chicago,81,True,True,Chicago,2024-04-14 15:27:35,41.802562,Chicago,-87.590368,60602,Chicago,Chicago,Blackstone Ave & Hyde Park Blvd,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,7,Chicago,82,True,True,Chicago,2024-04-14 15:27:35,41.94707089418471,Chicago,-87.74000823497772,60602,Chicago,Chicago,Kilbourn Ave & Milwaukee Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,9,3,Chicago,83,True,True,Chicago,2024-04-14 15:27:34,41.858166,Chicago,-87.656495,60602,Chicago,Chicago,Racine Ave & 18th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,0,15,Chicago,84,True,False,Chicago,2024-04-14 15:27:34,41.923577,Chicago,-87.778054,60602,Chicago,Chicago,Meade Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,8,Chicago,85,True,True,Chicago,2024-04-14 15:27:41,41.880281,Chicago,-87.774453,60602,Chicago,Chicago,Austin Blvd & Madison St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,11,2,Chicago,86,True,True,Chicago,2024-04-14 15:27:41,41.8310363140161,Chicago,-87.62679755687714,60602,Chicago,Chicago,State St & 35th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,15,0,Chicago,87,True,True,Chicago,2024-04-14 15:27:41,41.88549170626906,Chicago,-87.65228927135468,60602,Chicago,Chicago,Morgan St & Lake St*,IN_SERVICE,1,IN_SERVICE,False,20
0.0,6,13,Chicago,88,True,True,Chicago,2024-04-14 15:27:42,41.92154,Chicago,-87.653818,60602,Chicago,Chicago,Sheffield Ave & Webster Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,14,4,Chicago,89,True,True,Chicago,2024-04-14 15:27:43,41.903119,Chicago,-87.673935,60602,Chicago,Chicago,Honore St & Division St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,0,18,Chicago,90,True,True,Chicago,2024-04-14 15:27:44,41.787877,Chicago,-87.590461,60602,Chicago,Chicago,Blackstone Ave & 59th St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,4,11,Chicago,91,True,True,Chicago,2024-04-14 15:27:45,41.96835449363,Chicago,-87.7118306675,60602,Chicago,Chicago,Christiana Ave & Lawrence Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,9,Chicago,92,True,True,Chicago,2024-04-14 15:27:45,41.877945,Chicago,-87.662007,60602,Chicago,Chicago,Loomis St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,19
0.0,2,28,Chicago,93,True,True,Chicago,2024-04-14 15:27:40,41.894503,Chicago,-87.617854,60602,Chicago,Chicago,McClurg Ct & Erie St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,4,22,Chicago,94,True,True,Chicago,2024-04-14 15:27:45,41.881859328038225,Chicago,-87.64926373958588,60602,Chicago,Chicago,Green St & Madison St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,3,11,Chicago,95,True,True,Chicago,2024-04-14 15:27:43,41.96115407569,Chicago,-87.7165690733,60602,Chicago,Chicago,Drake Ave & Montrose Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,10,2,Chicago,96,True,True,Chicago,2024-04-14 15:27:43,41.845687,Chicago,-87.622481,60602,Chicago,Chicago,Indiana Ave & 26th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,7,Chicago,97,True,True,Chicago,2024-04-14 15:27:44,41.91748,Chicago,-87.728952,60602,Chicago,Chicago,Karlov Ave & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,15,0,Chicago,98,True,True,Chicago,2024-04-14 15:27:51,41.9267559875,Chicago,-87.6344287848,60602,Chicago,Chicago,Cannon Dr & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,8,Chicago,99,True,True,Chicago,2024-04-14 15:27:51,41.64850076266409,Chicago,-87.54608988761902,60602,Chicago,Chicago,Hegewisch Metra Station,IN_SERVICE,1,IN_SERVICE,False,15
0.0,13,22,Chicago,100,True,True,Chicago,2024-04-14 15:27:49,41.876665,Chicago,-87.620483,60602,Chicago,Chicago,Buckingham Fountain,IN_SERVICE,1,IN_SERVICE,False,39
0.0,2,12,Chicago,101,True,True,Chicago,2024-04-14 15:27:50,41.92533,Chicago,-87.6658,60602,Chicago,Chicago,Greenview Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,7,Chicago,102,True,True,Chicago,2024-04-14 15:27:50,41.746559,Chicago,-87.586005,60602,Chicago,Chicago,Stony Island Ave & 82nd St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,6,5,Chicago,103,True,True,Chicago,2024-04-14 15:27:49,41.79342945658,Chicago,-87.6158532619,60602,Chicago,Chicago,MLK Jr Dr & 56th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,2,5,Chicago,104,True,True,Chicago,2024-04-14 15:27:49,41.84847,Chicago,-87.685109,60602,Chicago,Chicago,Western Ave & 24th St,IN_SERVICE,1,IN_SERVICE,False,7
0.0,7,8,Chicago,105,True,True,Chicago,2024-04-14 15:27:47,41.741486528618054,Chicago,-87.65841007232666,60602,Chicago,Chicago,Loomis Blvd & 84th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,2,21,Chicago,106,True,True,Chicago,2024-04-14 15:27:52,41.89841768945,Chicago,-87.6865960164,60602,Chicago,Chicago,Western Ave & Walton St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,15,2,Chicago,107,True,True,Chicago,2024-04-14 15:27:52,41.8985866514,Chicago,-87.6219152258,60602,Chicago,Chicago,Mies van der Rohe Way & Chestnut St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,20,11,Chicago,108,True,True,Chicago,2024-04-14 15:27:52,41.791478,Chicago,-87.599861,60602,Chicago,Chicago,University Ave & 57th St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,7,4,Chicago,109,True,True,Chicago,2024-04-14 15:27:52,41.89939028549696,Chicago,-87.64854490756989,60602,Chicago,Chicago,Halsted St & North Branch St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,24,0,Chicago,110,True,True,Chicago,2024-04-14 15:27:56,41.963982,Chicago,-87.638181,60602,Chicago,Chicago,Montrose Harbor,IN_SERVICE,1,IN_SERVICE,False,31
0.0,13,5,Chicago,111,True,True,Chicago,2024-04-14 15:27:56,41.9105780349,Chicago,-87.6494219288,60602,Chicago,Chicago,Dayton St & North Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,6,Chicago,112,True,False,Chicago,2024-04-14 15:27:56,41.813617,Chicago,-87.6932272,60602,Chicago,Chicago,Fairfield Ave & 44th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,1,25,Chicago,113,True,True,Chicago,2024-04-14 15:27:57,41.9256018819,Chicago,-87.6537080423,60602,Chicago,Chicago,Sheffield Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,5,2,Chicago,114,True,True,Chicago,2024-04-14 15:27:53,41.8378,Chicago,-87.65114,60602,Chicago,Chicago,Morgan St & 31st St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,6,5,Chicago,115,True,True,Chicago,2024-04-14 15:27:53,41.954468,Chicago,-87.749594,60602,Chicago,Chicago,Milwaukee Ave & Cuyler Ave,IN_SERVICE,1,IN_SERVICE,False,11
0.0,7,8,Chicago,116,True,True,Chicago,2024-04-14 15:27:54,41.803038,Chicago,-87.606615,60602,Chicago,Chicago,Cottage Grove Ave & 51st St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,3,Chicago,117,True,True,Chicago,2024-04-14 15:28:00,41.88445395657,Chicago,-87.6962981368,60602,Chicago,Chicago,California Ave & Lake St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,8,7,Chicago,118,True,True,Chicago,2024-04-14 15:27:59,41.92463247165,Chicago,-87.6893070063,60602,Chicago,Chicago,Campbell Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,8,Chicago,119,True,True,Chicago,2024-04-14 15:28:06,41.76550800581,Chicago,-87.616917925,60602,Chicago,Chicago,Calumet Ave & 71st St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,8,3,Chicago,120,True,True,Chicago,2024-04-14 15:28:03,41.9433502470174,Chicago,-87.67066776752472,60602,Chicago,Chicago,Lincoln Ave & Roscoe St*,IN_SERVICE,1,IN_SERVICE,False,12
0.0,8,7,Chicago,121,True,True,Chicago,2024-04-14 15:28:02,41.916907,Chicago,-87.767173,60602,Chicago,Chicago,Parkside Ave & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,10,7,Chicago,122,True,True,Chicago,2024-04-14 15:28:02,41.87184,Chicago,-87.64664,60602,Chicago,Chicago,Halsted St & Polk St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,11,2,Chicago,123,True,True,Chicago,2024-04-14 15:28:03,42.0085943972,Chicago,-87.6904922389,60602,Chicago,Chicago,Western Ave & Lunt Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,18,4,Chicago,124,True,True,Chicago,2024-04-14 15:27:58,41.901315,Chicago,-87.677409,60602,Chicago,Chicago,Damen Ave & Thomas St (Augusta Blvd),IN_SERVICE,1,IN_SERVICE,False,23
0.0,9,6,Chicago,125,True,False,Chicago,2024-04-14 15:28:02,41.8320245,Chicago,-87.6778387,60602,Chicago,Chicago,Hoyne Ave & 34th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,9,2,Chicago,126,True,True,Chicago,2024-04-14 15:28:04,41.785861065132,Chicago,-87.67414391040802,60602,Chicago,Chicago,Damen Ave & 59th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,2,11,Chicago,127,True,True,Chicago,2024-04-14 15:28:05,41.90985465216731,Chicago,-87.66993016004562,60602,Chicago,Chicago,Paulina Ave & North Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,13,2,Chicago,128,True,True,Chicago,2024-04-14 15:28:01,41.831379,Chicago,-87.618034,60602,Chicago,Chicago,Calumet Ave & 35th St,IN_SERVICE,1,IN_SERVICE,False,15
